LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default,USER_ID
0.6476705221771168,2,1,1,4,-1,2,-1,-1,0,0,296.0,148.0,620.0,296.0,148.0,0.0,0.0,620.0,296.0,0.0,0.0,563.0,1,f0719112-38ce-45c3-83df-82aa342a0c12
0.4967680246122328,2,3,1,15,-1,-1,-1,0,0,-1,15069.0,0.0,14129.0,28246.0,9995.0,198.0,680.0,14129.0,16000.0,5000.0,198.0,14952.0,1,25216257-0e8d-4803-abc2-d50bf63767cf
0.6104299055736742,2,3,2,38,-1,-1,-1,-1,-1,-1,324.0,826.0,326.0,326.0,326.0,476.0,828.0,326.0,326.0,326.0,476.0,326.0,1,68eba12b-7f57-49c9-bc42-6f7186c760b7
1.292252018533551,2,3,1,56,-1,-1,-1,-1,-2,-1,17895.0,13576.0,18286.0,-200.0,0.0,18486.0,13605.0,19352.0,0.0,200.0,18486.0,5656.0,1,bf5db46a-6836-40c5-8d7b-4edde134f2d9
0.05923878170722774,1,2,1,55,1,2,0,0,0,0,4112.0,3900.0,7737.0,3406.0,1470.0,1500.0,0.0,4019.0,2500.0,0.0,30.0,0.0,1,fc545afc-18e8-4851-9624-b7ba485a9f9f
0.9584734704513109,1,2,2,67,-1,-1,-2,-2,-2,-2,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,41a5931c-5ff8-47d7-924c-255a82707152
0.11943923555806535,1,3,2,65,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,292bf064-f3b9-4edb-9bd3-75b97863b105
0.6136294065859591,2,2,2,60,0,0,0,0,0,0,28569.0,27693.0,20401.0,17510.0,18038.0,16145.0,1400.0,1600.0,600.0,771.0,1000.0,305.0,1,65d6e086-1ff2-49da-96e2-11a3bc39d915
0.02372307133585516,2,3,2,34,-2,-2,-2,-2,-2,-2,297.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,a10200de-10fc-4613-a991-487f590eae58
0.08326570249148246,2,3,2,93,0,0,0,0,0,0,130767.0,134946.0,130470.0,132038.0,131961.0,124256.0,6696.0,5000.0,4866.0,5300.0,5055.0,5000.0,1,71121ae8-326a-4bcb-a088-9ae4d004aae1
0.21546903723890432,1,3,2,4,0,0,0,0,0,-1,15024.0,12128.0,9775.0,7347.0,4026.0,4851.0,1200.0,1164.0,1069.0,81.0,4851.0,3333.0,1,f389a59b-86fa-4839-91fb-32dced42f557
0.22524063967128227,2,2,1,33,-2,-2,-2,-2,-2,-2,1293.0,494.0,1379.0,-1.0,272.0,1628.0,496.0,1385.0,0.0,273.0,1636.0,531.0,1,b263cec4-145d-432e-b302-4a5b118c9d5f
0.25146824884011654,2,2,2,16,-1,0,0,0,0,0,10498.0,8238.0,6411.0,5341.0,3483.0,4093.0,1345.0,1000.0,2000.0,1000.0,1000.0,2000.0,1,2c1a3a38-9a7a-4599-9b4f-5fad1f56578d
1.7569997039647016,2,2,1,72,0,0,0,0,0,0,39734.0,149570.0,137549.0,130893.0,108030.0,144938.0,117243.0,4500.0,4500.0,5000.0,50000.0,4578.0,1,2b109db7-a0fd-4212-a12e-7604b3d0a3ef
0.1369427496686677,2,1,2,20,0,0,0,0,0,2,14811.0,16262.0,17286.0,17895.0,19450.0,18990.0,2000.0,1600.0,1200.0,2000.0,0.0,1000.0,1,933414af-043e-4eaf-9bfb-7b56b7db7c1e
0.2821345434210387,1,3,2,54,-2,-2,-2,-2,-2,-2,-5700.0,-5700.0,-5700.0,197300.0,-2300.0,227835.0,0.0,0.0,203000.0,400.0,310135.0,1000.0,1,885f631d-3bc0-4209-8682-387a353d59ac
0.9136356496964237,1,2,2,17,-2,-2,-2,-2,-2,-2,0.0,200.0,751.0,2674.0,317.0,565.0,200.0,751.0,2700.0,320.0,570.0,0.0,1,e35c6f7a-01a9-4a2f-9bb6-90a0f5eca934
0.5154877231182464,1,3,2,65,0,0,0,0,0,0,110800.0,112008.0,96347.0,49506.0,49142.0,49251.0,4404.0,2826.0,1880.0,1805.0,2182.0,2000.0,1,72f4a12f-396d-46d4-8529-452e9bc7b13e
0.26539238271424415,2,1,2,95,0,0,0,0,0,0,69937.0,71906.0,43308.0,44584.0,47842.0,49888.0,3500.0,3000.0,2000.0,4000.0,3000.0,10000.0,1,a24d9478-052f-437e-8600-0728bdff3986
